"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Population 16 years and over with earnings","413,070","±5,103","202,506","±4,541","210,564","±3,573"
"Median earnings (dollars)","36,059","±1,010","40,964","±904","31,682","±683"
"Full-time, year-round workers with earnings","245,653","±6,578","129,858","±4,879","115,795","±4,043"
"    $1 to $9,999 or loss","1.2%","±0.3","1.1%","±0.4","1.2%","±0.5"
"    $10,000 to $14,999","1.9%","±0.5","1.2%","±0.4","2.7%","±0.8"
"    $15,000 to $24,999","7.9%","±1.0","7.4%","±1.1","8.5%","±1.5"
"    $25,000 to $34,999","13.0%","±1.0","12.5%","±1.4","13.6%","±1.5"
"    $35,000 to $49,999","19.3%","±1.2","18.4%","±1.7","20.3%","±1.6"
"    $50,000 to $64,999","17.4%","±1.3","16.5%","±1.7","18.3%","±1.7"
"    $65,000 to $74,999","8.4%","±1.0","7.2%","±1.1","9.8%","±1.5"
"    $75,000 to $99,999","12.6%","±1.1","13.9%","±1.5","11.2%","±1.6"
"    $100,000 or more","18.3%","±1.3","21.8%","±1.7","14.4%","±1.8"
"Median earnings (dollars)","(X)","(X)","57,997","±3,905","51,432","±855"
"Mean earnings (dollars)","73,968","±2,785","84,070","±4,663","62,640","±2,318"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","45,189","±1,662","49,759","±2,767","41,331","±943"
"        Less than high school graduate","21,541","±2,297","26,239","±1,187","15,444","±2,206"
"        High school graduate (includes equivalency)","27,346","±1,616","30,906","±2,379","25,677","±1,557"
"        Some college or associate's degree","32,392","±1,800","37,022","±4,949","31,206","±1,227"
"        Bachelor's degree","56,853","±3,294","62,447","±6,121","50,939","±1,071"
"        Graduate or professional degree","70,000","±4,780","81,428","±5,990","62,056","±2,775"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","26.5%","(X)","(X)","(X)","(X)","(X)"
