"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","626,152","±4,344"
"    Under .50","64,033","±5,600"
"    .50 to .74","31,849","±5,686"
"    .75 to .99","32,503","±5,465"
"    1.00 to 1.24","34,504","±3,519"
"    1.25 to 1.49","23,865","±4,228"
"    1.50 to 1.74","22,540","±3,444"
"    1.75 to 1.84","7,718","±2,062"
"    1.85 to 1.99","11,261","±3,192"
"    2.00 to 2.99","79,294","±6,796"
"    3.00 to 3.99","72,327","±7,239"
"    4.00 to 4.99","57,873","±4,980"
"    5.00 and over","188,385","±9,759"
